countryname,Trade Balance,Count of countryname
U S A,29650,11
BANGLADESH PR,12793,11
NEPAL,7440,11
NETHERLAND,6678,11
TURKEY,5800,11
SRI LANKA DSR,4093,11
U K,2879,11
ITALY,2788,11
SPAIN,2338,11
KENYA,2173,11
TOGO,2037,11
ISRAEL,1715,11
POLAND,1480,11
PHILIPPINES,1237,11
UNSPECIFIED,1032,11
PORTUGAL,942,11
IRAN,917,11
SUDAN,867,11
BRAZIL,649,11
SOMALIA,647,11
DJIBOUTI,623,11
GREECE,617,11
MAURITIUS,602,11
MALDIVES,591,11
ETHIOPIA,566,11
YEMEN REPUBLC,536,11
CANADA,514,11
UGANDA,507,11
CONGO D. REP.,495,11
GUATEMALA,487,11
PAKISTAN IR,455,11
MALTA,444,11
CROATIA,383,11
COTE D' IVOIRE,352,11
GIBRALTAR,350,11
FRANCE,348,11
ROMANIA,295,11
BHUTAN,286,11
HONDURAS,272,11
BENIN,251,11
VENEZUELA,246,11
LEBANON,245,11
HUNGARY,235,11
SENEGAL,208,11
LIBERIA,205,11
ZAMBIA,193,11
PUERTO RICO,189,11
UZBEKISTAN,181,11
PARAGUAY,179,11
ZIMBABWE,176,11
MALI,174,11
BAHARAIN IS,170,11
SLOVENIA,168,11
MADAGASCAR,165,11
EGYPT A RP,158,11
SIERRA LEONE,151,11
DENMARK,144,11
EL SALVADOR,144,11
MEXICO,126,11
RWANDA,106,11
NEW ZEALAND,103,11
GAMBIA,102,11
LITHUANIA,98,11
CAMBODIA,93,11
TURKMENISTAN,90,11
NICARAGUA,87,11
BULGARIA,84,11
SYRIA,82,11
COSTA RICA,75,11
NIGER,75,11
MAURITANIA,74,11
MOZAMBIQUE,72,11
JAMAICA,71,11
TUNISIA,70,11
SERBIA,70,11
HAITI,67,11
NAMIBIA,63,11
SLOVAK REP,62,11
BURUNDI,56,11
FIJI IS,51,11
CHAD,46,11
PANAMA REPUBLIC,37,11
SEYCHELLES,36,11
CYPRUS,31,11
KYRGHYZSTAN,28,11
AFGHANISTAN,27,11
MACEDONIA,25,11
MALAWI,25,11
CUBA,25,11
TIMOR LESTE,24,11
SOUTH SUDAN,24,11
MONGOLIA,23,11
LATVIA,22,11
REUNION,22,11
ALBANIA,21,11
MONTENEGRO,20,11
TAJIKISTAN,19,11
C AFRI REP,18,11
BARBADOS,14,11
CZECH REPUBLIC,14,11
LAO PD RP,14,11
BELIZE,13,11
BOSNIA-HRZGOVIN,13,11
NETHERLANDANTIL,11,11
LESOTHO,11,11
NEW CALEDONIA,9,11
ERITREA,9,11
MOLDOVA,8,11
FR POLYNESIA,8,11
CAYMAN IS,6,11
COMOROS,6,11
MARTINIQUE,5,11
BERMUDA,5,11
ICELAND,5,11
BAHAMAS,4,11
VIRGIN IS US,4,11
ARUBA,4,11
ST LUCIA,3,11
GRENADA,3,11
VANUATU REP,3,11
MONACO,3,11
DOMINICA,3,11
ANTIGUA,2,11
GUADELOUPE,2,11
MAYOTTE,2,11
SAO TOME,2,11
FR GUIANA,2,11
CAPE VERDE IS,2,11
STATE OF PALEST,2,11
ST KITT N A,1,11
KIRIBATI REP,1,11
GUAM,1,11
GREENLAND,1,10
TONGA,1,11
LIECHTENSTEIN,1,11
SAMOA,1,11
AMERI SAMOA,1,11
ST VINCENT,1,11
MICRONESIA,1,11
TURKS C IS,0,11
N. MARIANA IS.,0,11
FAROE IS.,0,10
SAN MARINO,0,10
TUVALU,0,11
US MINOR OUTLYING ISLANDS,0,11
PALAU,0,11
SINT MAARTEN (DUTCH PART),0,11
MONTSERRAT,0,11
ANGUILLA,0,11
